question,document
"Do I have to use Python for the homework and capstone, or can I build everything in something like JavaScript, Go, or Rust?",ea815eb858
"If I choose a non-Python stack for the project, what kind of setup instructions do I need to include in the README?",ea815eb858
"Is it okay to submit the final project in another language if I have a good reason, or will that be a problem for review?",ea815eb858
"What does the course expect from me if I use TypeScript, Java, C#, or R instead of Python?",ea815eb858
"How detailed should the install and run steps be so the reviewer can reproduce my project on Windows, macOS, and Linux?",ea815eb858
Where can I look at past LLM Zoomcamp capstone projects to get an idea of what people built?,930286278d
Is there a page with previous LLM Zoomcamp project submissions from 2024 and 2025?,930286278d
I’m working on the capstone—where do I find examples of earlier projects and repos?,930286278d
Can you point me to old LLM Zoomcamp projects so I can check the expected scope?,930286278d
Are there links for the 2024 and 2025 LLM Zoomcamp project submissions?,930286278d
Do I have to announce or reserve my capstone project idea before I start?,897a350476
Can I just pick a project topic without telling anyone first?,897a350476
"If I want feedback on my project idea, should I ask in Slack?",897a350476
Is it okay if my capstone is similar to a previous project as long as I build it myself?,897a350476
Where can I check past LLM Zoomcamp projects to get a sense of the expected scope?,897a350476
"Can I reuse the workshop content in my own capstone project, or is it only for the class?",d850a0e7ea
Is it okay to use dlt from this workshop in other projects outside this Zoomcamp?,d850a0e7ea
"Could I apply the workshop stuff to an MLOps Zoomcamp project, or would that be off-limits?",d850a0e7ea
"Since dlt is open source, am I allowed to use the materials and code directly in my own work?",d850a0e7ea
"If I have questions about using the workshop content in a project, should I just ask here?",d850a0e7ea
How do I create a new dlt project for loading files from cloud storage into DuckDB?,6bceeebf04
What command should I run to initialize a filesystem-to-duckdb dlt project?,6bceeebf04
I'm starting a dlt load from cloud data — how do I set up the project first?,6bceeebf04
Is there a quick way to bootstrap a dlt pipeline that reads from the filesystem and writes to DuckDB?,6bceeebf04
Where do I begin if I want to initialize dlt for a cloud file source and DuckDB destination?,6bceeebf04
"Why do I get `Table notion_pages___homework does not exist` when I run `db.open_table(""notion_pages___homework"")`?",0407213397
What should I check if opening `notion_pages___homework` throws a `FileNotFoundError` in the dlt workshop?,0407213397
"I changed the table name to homework, but `db.open_table(""notion_pages___homework"")` still fails — what am I missing?",0407213397
How can I fix the missing table error for `notion_pages___homework` in my pipeline?,0407213397
Is there a setting I forgot to update if the code still looks for `employee_handbook` instead of `homework`?,0407213397
"Why am I getting FileNotFoundError: Table notion_pages___homework does not exist when I run main(), and what should I open instead?",e95bfafc0e
"In the dlt workshop homework, what table name should I use in line 3 so db.open_table works correctly?",e95bfafc0e
"If the error says the table notion_pages___homework doesn't exist, is there a different table I need to open in the code?",e95bfafc0e
"My script fails with ""Please first call db.create_table(...)"" for notion_pages___homework — what exact table should I put in db.open_table?",e95bfafc0e
Where should I change the table reference in the homework code to fix the missing table error?,e95bfafc0e
How can I list all tables in the database with dlt?,e394e6f738
Is there a way to see which tables are already created in the db?,e394e6f738
What method should I call to get the table names from the database?,e394e6f738
How do I check the tables available in my database?,e394e6f738
Can I use db.table_names() to find out what tables exist?,e394e6f738
Does dlt support ClickHouse or StarRocks connectors yet?,cd19f122f3
Are there any built-in connectors in dlt for ClickHouse and StarRocks?,cd19f122f3
"If dlt doesn’t have ClickHouse or StarRocks connectors, can the community add them?",cd19f122f3
Is there a way to contribute a ClickHouse or StarRocks connector to dlt?,cd19f122f3
Why doesn’t dlt include connectors for ClickHouse or StarRocks right now?,cd19f122f3
"Why am I getting a 401 Unauthorized from the Notion search endpoint in the notebook, and how can I fix the secret/access issue?",0dfba07ace
My notebook can’t access Notion and I see a 401 Client Error on api.notion.com/v1/search — what should I check first?,0dfba07ace
"Could this Notion API error be caused by a bad or expired token, and how do I verify that?",0dfba07ace
What permissions or config do I need to confirm when the notebook says it has no secret access to Notion?,0dfba07ace
I keep hitting an authorization error with the Notion API in this workshop; how do I make sure I’m using the right key and endpoint?,0dfba07ace
How do I install the newer requests version from the official source instead of getting 2.28?,4b30b918bc
"Why am I seeing a 401 Client Error when working with this setup, and what should I check?",4b30b918bc
What pip command should I use to force requests v2.32.3 for lancedb?,4b30b918bc
Could this error mean my access key is wrong or not allowed yet?,4b30b918bc
Is there a way to install requests straight from the GitHub release zip?,4b30b918bc
